11.10.2015;00:27:00;Wednesday;11.10.2015;08:58:00;100%;08:31;:);Drank coffee:Stressful day;50;0
12.10.2015;21:59:00;Thursday;13.10.2015;06:00:00;74%;08:01;:);Ate late:Drank coffee:Drank tea:Worked out;;0
13.10.2015;22:19:00;Friday;14.10.2015;04:59:00;59%;06:40;:);Drank coffee:Worked out;;0
14.10.2015;05:00:00;Saturday;14.10.2015;06:00:00;13%;01:00;:);;;0
14.10.2015;22:40:00;Sunday;15.10.2015;06:20:00;68%;07:40;:);Drank tea:Worked out;65;0
15.10.2015;22:12:00;Monday;16.10.2015;06:21:00;67%;08:08;:);Drank coffee:Drank tea:Worked out;58;0
17.10.2015;00:45:00;Tuesday;17.10.2015;07:37:00;57%;06:51;:);Drank coffee:Drank tea;;0
18.10.2015;21:52:00;Wednesday;19.10.2015;06:20:00;67%;08:27;:|;Drank coffee;;0
20.10.2015;21:38:00;Thursday;21.10.2015;06:20:00;88%;08:42;:|;Drank coffee:Drank tea;62;0
21.10.2015;22:41:00;Friday;22.10.2015;06:20:00;77%;07:39;:);Drank coffee:Drank tea;53;0
22.10.2015;21:46:00;Saturday;23.10.2015;05:30:00;80%;07:44;:);Drank coffee:Drank tea:Worked out;70;0
24.10.2015;00:32:00;Sunday;24.10.2015;08:12:00;77%;07:40;:);Drank coffee:Drank tea:Worked out;;0
24.10.2015;22:38:00;Monday;25.10.2015;06:33:00;81%;07:55;:);Drank coffee:Drank tea;;0
26.10.2015;23:09:00;Tuesday;27.10.2015;06:05:00;77%;06:55;:);Drank coffee:Drank tea;65;0
27.10.2015;21:34:00;Wednesday;28.10.2015;05:35:00;78%;08:01;:|;Drank coffee:Worked out;;0
28.10.2015;22:28:00;Thursday;29.10.2015;06:20:00;83%;07:51;:|;Drank tea:Worked out;53;0
29.10.2015;22:30:00;Friday;30.10.2015;06:10:00;81%;07:40;:|;Drank tea:Worked out;57;0
31.10.2015;01:01:00;Saturday;31.10.2015;07:50:00;50%;06:48;:);Drank coffee:Drank tea;;0
02.11.2015;22:00:00;Sunday;03.11.2015;06:10:00;83%;08:09;:|;Drank coffee:Drank tea:Worked out;55;0
03.11.2015;22:46:00;Monday;04.11.2015;06:09:00;75%;07:23;:|;Drank coffee:Drank tea:Worked out;;0
04.11.2015;22:49:00;Tuesday;05.11.2015;06:00:00;65%;07:11;:|;Drank coffee:Drank tea:Worked out;;0
05.11.2015;21:36:00;Wednesday;06.11.2015;05:29:00;77%;07:52;:|;Drank coffee:Drank tea:Worked out;;0
07.11.2015;00:19:00;Thursday;07.11.2015;08:13:00;93%;07:54;:);Drank coffee:Drank tea:Worked out;98;0
08.11.2015;23:28:00;Friday;09.11.2015;06:20:00;69%;06:52;:);Drank coffee:Drank tea;;0
09.11.2015;21:59:00;Saturday;10.11.2015;05:41:00;88%;07:41;:);Drank coffee:Drank tea:Worked out;;0
10.11.2015;22:56:00;Sunday;11.11.2015;06:28:00;83%;07:32;:);Drank coffee:Drank tea:Worked out;;0
11.11.2015;22:57:00;Monday;12.11.2015;06:20:00;72%;07:23;:);Drank coffee:Drank tea;;0
13.11.2015;22:59:00;Tuesday;14.11.2015;07:46:00;96%;08:46;:);Drank coffee:Drank tea;59;0
15.11.2015;22:17:00;Wednesday;16.11.2015;06:30:00;72%;08:13;:);Drank coffee:Drank tea;62;0
18.11.2015;22:07:00;Thursday;19.11.2015;05:30:00;80%;07:23;:);Ate late:Drank coffee:Drank tea:Worked out;63;0
19.11.2015;23:10:00;Friday;20.11.2015;06:00:00;73%;06:50;:);Drank coffee:Drank tea:Worked out;62;0
22.11.2015;21:57:00;Saturday;23.11.2015;05:30:00;83%;07:33;:);Drank tea;;0
23.11.2015;22:15:00;Sunday;24.11.2015;05:00:00;74%;06:44;:);Drank coffee:Drank tea:Worked out;;0
24.11.2015;22:33:00;Monday;25.11.2015;06:30:00;87%;07:57;:);Drank coffee:Drank tea:Worked out;;0
25.11.2015;23:26:00;Tuesday;26.11.2015;06:20:00;69%;06:54;:);Drank coffee:Drank tea:Worked out;;0
26.11.2015;22:25:00;Wednesday;27.11.2015;06:20:00;81%;07:55;:);Drank coffee:Drank tea:Worked out;;0
28.11.2015;01:20:00;Thursday;28.11.2015;07:46:00;58%;06:25;:);Drank coffee:Drank tea:Worked out;59;0
29.11.2015;22:20:00;Friday;30.11.2015;06:20:00;68%;07:59;:);Drank tea;;0
30.11.2015;21:23:00;Saturday;01.12.2015;06:19:00;64%;08:55;:);Drank coffee:Drank tea:Worked out;;0
01.12.2015;23:03:00;Sunday;02.12.2015;06:20:00;84%;07:17;:);Drank coffee:Drank tea:Worked out;57;0
02.12.2015;22:19:00;Monday;03.12.2015;05:11:00;75%;06:51;:);Drank coffee:Drank tea;;0
03.12.2015;22:51:00;Tuesday;04.12.2015;05:01:00;70%;06:09;:);Ate late:Drank coffee:Drank tea;;0
06.12.2015;22:10:00;Wednesday;07.12.2015;05:31:00;86%;07:20;:);Drank coffee:Drank tea;68;0
07.12.2015;21:20:00;Thursday;08.12.2015;05:00:00;86%;07:40;:);Drank tea:Stressful day:Worked out;61;0
08.12.2015;22:17:00;Friday;09.12.2015;05:45:00;79%;07:28;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
09.12.2015;21:57:00;Saturday;10.12.2015;06:10:00;93%;08:13;:);Drank tea:Stressful day:Worked out;67;0
13.12.2015;00:08:00;Sunday;13.12.2015;08:23:00;77%;08:14;:);Drank coffee;;0
13.12.2015;22:07:00;Monday;14.12.2015;06:09:00;80%;08:02;:);Drank coffee;52;0
15.12.2015;22:32:00;Tuesday;16.12.2015;06:10:00;75%;07:37;:);Drank coffee:Drank tea:Worked out;;0
16.12.2015;22:20:00;Wednesday;17.12.2015;05:40:00;84%;07:20;:);Drank coffee:Drank tea:Stressful day;;0
17.12.2015;21:07:00;Thursday;18.12.2015;05:45:00;100%;08:37;:);Drank coffee:Drank tea:Worked out;;0
20.12.2015;22:19:00;Friday;21.12.2015;06:20:00;72%;08:00;:|;Drank coffee:Drank tea:Worked out;56;0
21.12.2015;22:06:00;Saturday;22.12.2015;05:29:00;80%;07:23;:|;Drank coffee:Worked out;;0
22.12.2015;21:41:00;Sunday;23.12.2015;05:43:00;82%;08:01;:);Drank coffee:Drank tea:Worked out;;0
23.12.2015;22:33:00;Monday;24.12.2015;06:01:00;79%;07:27;:);Drank coffee:Drank tea;;0
29.12.2015;22:44:00;Tuesday;30.12.2015;07:00:00;76%;08:16;:|;Drank coffee;;0
01.01.2016;23:53:00;Wednesday;02.01.2016;08:27:00;79%;08:33;:|;Drank coffee:Drank tea;71;0
02.01.2016;23:49:00;Thursday;03.01.2016;08:13:00;85%;08:24;:);Drank coffee:Drank tea;65;0
03.01.2016;21:44:00;Friday;04.01.2016;05:35:00;69%;07:51;:);Drank coffee;;0
04.01.2016;22:17:00;Saturday;05.01.2016;05:45:00;74%;07:28;:|;Drank coffee:Drank tea:Stressful day;;0
